 	1
e	2
t	3
o	4
a	5
n	6
i	7
s	8
r	9
h	10
l	11
d	12
u	13
m	14
y	15
g	16
c	17
w	18
f	19
p	20
b	21
k	22
v	23
I	24
L	25
R	26
U	27
T	28
S	29
A	30
C	31
M	32
O	33
W	34
N	35
E	36
B	37
H	38
P	39
D	40
G	41
F	42
j	43
x	44
Y	45
1	46
0	47
2	48
z	49
J	50
K	51
3	52
4	53
5	54
V	55
q	56
😂	57
8	58
9	59
6	60
7	61
X	62
😒	63
️	64
Z	65
Q	66
🙋	67
😘	68
😡	69
😁	70
😳	71
👍	72
😩	73
☺	74
😭	75
🙈	76
❤	77
😍	78
👌	79
😊	80
🎅	81
😑	82
£	83
🔫	84
😏	85
👊	86
🎄	87
🙌	88
😆	89
😷	90
😜	91
💜	92
–	93
😔	94
😎	95
💕	96
😅	97
😴	98
🙊	99
😄	100
🎁	101
😣	102
😬	103
😱	104
😃	105
🎉	106
😫	107
💁	108
😕	109
😖	110
✌	111
👏	112
🍹	113
🎶	114
👎	115
😉	116
🔥	117
😝	118
💀	119
😢	120
💰	121
🙅	122
💋	123
💃	124
☔	125
🙏	126
💤	127
💔	128
🚓	129
❄	130
❓	131
—	132
💯	133
😲	134
✈	135
😀	136
💦	137
✨	138
☕	139
☆	140
😤	141
🙀	142
😋	143
℃	144
😠	145
💪	146
💚	147
😞	148
📚	149
・	150
😐	151
💩	152
😇	153
🌏	154
☀	155
🍷	156
💧	157
â	158
Ｏ	159
Ｌ	160
💅	161
🔪	162
í	163
😰	164
ó	165
🇴	166
🇱	167
İ	168
🐸	169
🙆	170
💣	171
👑	172
📖	173
👯	174
💖	175
🔜	176
⁰	177
°	178
🍻	179
¢	180
你	181
🚒	182
🚑	183
♻	184
🎊	185
👭	186
🌴	187
💨	188
€	189
Ｆ	190
Ｗ	191
☹	192
😶	193
💘	194
🏀	195
«	196
×	197
🚀	198
👸	199
🎻	200
✅	201
😛	202
🐱	203
🐶	204
👳	205
⚡	206
🍕	207
🍆	208
💻	209
💾	210
🇫	211
🇼	212
🆘	213
💭	214
🏆	215
⚾	216
ö	217
😻	218
🎵	219
🎤	220
🛀	221
󾍁	222
🎧	223
🐁	224
☁	225
😵	226
🎼	227
🚶	228
🔌	229
🇬	230
🇧	231
♥	232
🍸	233
➡	234
📷	235
🍵	236
😟	237
😪	238
Ã	239
Ë	240
œ	241
Å	242
🐣	243
é	244
🏃	245
👐	246
💓	247
就	248
算	249
隔	250
格	251
我	252
都	253
知	254
讲	255
💗	256
🍴	257
🍟	258
✋	259
ง	260
ว	261
ย	262
🚍	263
⛄	264
ï	265
🙇	266
👉	267
❌	268
⭕	269
👈	270
👤	271
👿	272
🐭	273
😥	274
🌁	275
🚔	276
🚨	277
⏩	278
⏪	279
🌎	280
🌍	281
🚁	282
🚢	283
⛪	284
🏦	285
💵	286
🏥	287
💥	288
🐋	289
🐳	290
💙	291
è	292
¬	293
Â	294
¦	295
😼	296
😮	297
💡	298
